coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
261224,http://bisque.cyverse.org/image_service/image/00-bzTR5tcEcpasNRL4rrBKLN?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-bzTR5tcEcpasNRL4rrBKLN?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-bzTR5tcEcpasNRL4rrBKLN?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-bzTR5tcEcpasNRL4rrBKLN?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:810c5616-d931-46f1-8961-8447fbd9f902,"2016-10-11 09:52:05",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261224,StillImage,Photograph,en
261225,http://bisque.cyverse.org/image_service/image/00-esp7tJ7ggpWXx5MG5iEuEk?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-esp7tJ7ggpWXx5MG5iEuEk?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-esp7tJ7ggpWXx5MG5iEuEk?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-esp7tJ7ggpWXx5MG5iEuEk?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b689d3c7-a521-4ca0-a954-c17db24a3edf,"2016-10-11 09:52:08",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261225,StillImage,Photograph,en
261226,http://bisque.cyverse.org/image_service/image/00-bZXoziDL4QrTnTKfvUoKVD?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-bZXoziDL4QrTnTKfvUoKVD?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-bZXoziDL4QrTnTKfvUoKVD?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-bZXoziDL4QrTnTKfvUoKVD?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:2bda948c-1212-46c8-8f06-b7b1bc2fdd7f,"2016-10-11 09:52:11",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261226,StillImage,Photograph,en
261228,http://bisque.cyverse.org/image_service/image/00-BMLDWLhViarqb9opaophK4?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-BMLDWLhViarqb9opaophK4?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-BMLDWLhViarqb9opaophK4?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-BMLDWLhViarqb9opaophK4?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:1c885ded-e315-4676-83d2-4b326ee3caff,"2016-10-11 09:52:14",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261228,StillImage,Photograph,en
261227,http://bisque.cyverse.org/image_service/image/00-nmWBJgLSGB7328KDBDVXsk?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-nmWBJgLSGB7328KDBDVXsk?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-nmWBJgLSGB7328KDBDVXsk?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-nmWBJgLSGB7328KDBDVXsk?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:2e4cea0c-fb9c-4c07-b4c4-e45d00485e59,"2016-10-11 09:52:17",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261227,StillImage,Photograph,en
261229,http://bisque.cyverse.org/image_service/image/00-YagL9nt9QMDmDhsYy3JA8b?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-YagL9nt9QMDmDhsYy3JA8b?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-YagL9nt9QMDmDhsYy3JA8b?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-YagL9nt9QMDmDhsYy3JA8b?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:558f2e8c-3e1e-45f4-98d3-c36c10f39639,"2016-10-11 09:52:20",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261229,StillImage,Photograph,en
261230,http://bisque.cyverse.org/image_service/image/00-MfnQCqjymUMq5y8KeVNBZ9?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-MfnQCqjymUMq5y8KeVNBZ9?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-MfnQCqjymUMq5y8KeVNBZ9?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-MfnQCqjymUMq5y8KeVNBZ9?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:07b2e99a-33ba-46f2-a6e6-0be5941812f8,"2016-10-11 09:52:23",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261230,StillImage,Photograph,en
118992,http://bisque.cyverse.org/image_service/image/00-q8AG7oiWFu28ktREc47ZHP?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-q8AG7oiWFu28ktREc47ZHP?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-q8AG7oiWFu28ktREc47ZHP?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-q8AG7oiWFu28ktREc47ZHP?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:8a7ae447-a55d-4bea-9f8d-619ac9368509,"2016-10-11 09:52:27",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=118992,StillImage,Photograph,en
261231,http://bisque.cyverse.org/image_service/image/00-3RZUS9CBkavgUAi2Z2MaMN?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-3RZUS9CBkavgUAi2Z2MaMN?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-3RZUS9CBkavgUAi2Z2MaMN?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-3RZUS9CBkavgUAi2Z2MaMN?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:fb249c32-ec29-424f-a8a1-f330599b7446,"2016-10-11 09:52:30",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=261231,StillImage,Photograph,en
118990,http://bisque.cyverse.org/image_service/image/00-RmRzV4VXfjBae5XDrb62qG?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-RmRzV4VXfjBae5XDrb62qG?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-RmRzV4VXfjBae5XDrb62qG?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-RmRzV4VXfjBae5XDrb62qG?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:a28eac73-4447-4adb-9aa2-54afca721806,"2016-10-11 09:52:33",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=118990,StillImage,Photograph,en
