id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
269334,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,00056aca-1cbb-4a22-bb4e-b7972db7a766,HWR-0003027,101754,,,,,Juncaceae,"Juncus coriaceus",50829,Mackenzie,Juncus,coriaceus,,,"Knapp, Wesley",,,,,,,"Ravenel, H.",,1866-06-29,1866,6,29,180,,,,"in pond of my farm""""",,,,,,,,,,,,,,"United States","South Carolina","Aiken County",,"Aiken, SC",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:0e0135c0-fb67-4320-9c29-87b030ab4d53,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269334
278806,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,0018832a-cb40-44ef-91d6-b196945438d9,HWR-0003771,104615,,,,,Caryophyllaceae,"Paronychia jamesii",63186,"Torr. & Gray",Paronychia,jamesii,,,"Canby, William",,,,,,,"Canby, William",,,,,,,,,,,,,,,,,,,,,,,,"United States",Colorado,"El Paso County",,"Pikes Peak, Colorado",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:28c9a2b5-2a65-448f-b433-f94263578314,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=278806
295076,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,001ed508-f9db-4fa3-90b3-8148e6d61080,HWR-0004935,122068,,,,,Violaceae,"Viola sororia",85940,Willd.,Viola,sororia,,,,,,,,,,"Olney, Stephen",,,,,,,,,,,,,,,,,,,,,,,,"United States","Rhode Island",,,"Rhode Island",,,,,,,,,,,,,,,,,,,,,"2017-11-16 10:26:32",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f12adc51-8ed6-495b-b6b1-e1ce5a1c0750,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=295076
553389,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,00378366-e295-4aff-a5d7-e98e6a21bd2f,HWR-0005391,121011,,,,,Orchidaceae,"Spiranthes lacera var. gracilis",116124,"(Bigelow) Luer",Spiranthes,lacera,var.,gracilis,"Correll, D.",,,,,,,"Ravenel, H.",s.n.,,,,,,,,,"Dry soils",,,,,,flowering,,,,,,,,"United States","South Carolina",,,"South Carolina",,,,,,,,,,,,,,,,,,,,,"2017-12-08 09:28:43",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:750a2d8b-c2c1-46d7-8aca-ffc983a84f3d,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=553389
292408,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,004482b9-db76-40cc-8ee7-3b53775f32f7,,105561,,,,,Fabaceae,"Pediomelum canescens",64385,"(Michx.) Rydb.",Pediomelum,canescens,,,"Ravenel, H.",,,,,,,"Ravenel, H.",,,,,,,,,,August.,,,,,,,,,,,,,,"United States","South Carolina","Aiken County",,Aiken,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:9fa999b3-a82f-4244-bed2-bdfda27fffb7,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=292408
268803,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,004e0a1f-d191-4156-95a1-e84898d552cc,HWR-0003141,100225,,,,,Cyperaceae,"Carex lupulina",26562,"Muhl. ex Willd.",Carex,lupulina,,,"Naczi, Robert",,,,,,,"Ravenel, H.",,1872-06-30,1872,6,30,182,,,,,,,,,,"flowering and fruiting",,,,,,,,"United States",Georgia,"Floyd County",,"Rome, GA",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:488b5fdb-8199-4683-a4ca-fdc88e56ef79,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268803
269096,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,008d5fc2-0b75-44c3-80fc-a58535c5f7a8,HWR-0003644,102585,,,,,Poaceae,"Dichanthelium commutatum",37192,"(Schult.) Gould",Dichanthelium,commutatum,,,"Chase, Agnes",,,,,,,"Tatnall, Edward",,,,,,,,,,,,,,,,"flowering and fruiting",,,,,,,,"United States",Delaware,"New Castle County",,Brandywine,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:46b50962-60e1-4bd7-bc0e-93f53bbe2276,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269096
287771,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,00bf9d2e-7af8-407f-b465-e055fb843b16,HWR-0004755,121084,,,,,Iridaceae,"Crocus adamii",,"J. Gay",,,,,"Caruel, Teodoro",,,,,,,"Caruel, Teodoro",,,,,,,,,,"Florentiae in pratis. Februario.",,,,,,flowering,,,,,,,,,,,,"Florence, Italy",,,,,,,,,,,,,,,,,,,,,"2016-10-11 09:33:37",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3e3f5bdc-aaa8-4fc7-a196-67c474513d20,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=287771
283327,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,00ca6750-9e64-4920-96d8-88d1c3486d47,HWR-0003786,104705,,,,,Caryophyllaceae,"Silene italica",77158,Pers.,Silene,italica,,,"Caruel, Teodoro",,,,,,,"Caruel, Teodoro",,,,,,,,,,"In montibus Etrurine"""" - in the Etrurian mountains. Collected in April.",,,,,,flowering,,,,,,,,Italy,,,,Etruria,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:006afae2-0241-4218-9f30-cfa383144ae3,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=283327
283376,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,00e7b642-a1dc-4377-aa9b-cf3bc29e91ed,,104894,,,,,Bromeliaceae,"Tillandsia tenuifolia",82769,"Mez, non L.",Tillandsia,tenuifolia,,,,,,,,,,"Ravenel, H.",,1876-11-30,1876,11,30,335,,,,,,,,,,flowering,,,,,,,,"United States",Florida,"Alachua County",,Gainesville,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:1918ad7c-0f52-46dd-a3eb-e6214bf6eb6b,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=283376
